type,sprite,effect,cost,rarity,value,cardName,description
2,wolf,3,2,0,Anthropoides paradisea,Digitized upward-trending internet solution,1
1,fox,2,1,2,Macaca mulatta,Proactive explicit secured line,3
2,fox,2,2,0,Trichechus inunguis,Total local task-force,1
2,fox,2,3,-4,Amphibolurus barbatus,Synchronised upward-trending time-frame,1
1,bear,2,2,-5,Laniarius ferrugineus,Assimilated mobile productivity,2
1,wolf,2,1,2,Columba palumbus,Team-oriented heuristic customer loyalty,3
2,bear,2,3,2,Antilocapra americana,Advanced system-worthy concept,1
2,bear,1,3,4,Dicrostonyx groenlandicus,Adaptive bandwidth-monitored database,3
2,bear,2,1,1,Odocoileus hemionus,Visionary local customer loyalty,2
1,bear,2,2,-3,Chlamydosaurus kingii,Focused interactive structure,3
2,bear,2,1,-2,Nasua narica,Implemented radical model,3
1,eagle,3,3,3,Papio cynocephalus,Virtual contextually-based contingency,1
1,eagle,2,1,4,Graspus graspus,Fundamental radical initiative,3
2,fox,1,2,0,Coluber constrictor,Programmable even-keeled process improvement,3
1,eagle,1,2,-4,Acanthaster planci,Reactive explicit strategy,3
2,bear,2,2,4,Pelecans onocratalus,Down-sized impactful standardization,2
1,eagle,1,2,-2,Falco peregrinus,Synergized global task-force,2
1,eagle,2,3,3,Choloepus hoffmani,Synchronised next generation task-force,2
2,fox,1,3,1,Phoenicopterus ruber,Profit-focused dedicated complexity,1
2,eagle,3,1,3,Pycnonotus barbatus,Switchable heuristic approach,3
1,fox,2,3,3,Phascolarctos cinereus,Devolved discrete encoding,3
1,eagle,1,3,5,Equus hemionus,Seamless system-worthy architecture,2
2,fox,1,3,4,Alopochen aegyptiacus,Adaptive methodical help-desk,3
1,bear,3,3,3,Geochelone elephantopus,Optional discrete standardization,3
2,eagle,3,2,-4,Uraeginthus granatina,Centralized web-enabled moratorium,2
1,eagle,3,3,1,Paradoxurus hermaphroditus,Seamless 5th generation emulation,2
1,bear,2,2,3,Bettongia penicillata,Proactive didactic initiative,2
1,wolf,2,2,5,Pelecans onocratalus,Profit-focused incremental application,3
2,eagle,2,2,1,Cervus canadensis,Secured multimedia productivity,1
1,bear,2,1,-1,unavailable,Vision-oriented modular product,1
2,eagle,1,3,2,Meles meles,Operative interactive service-desk,1
2,eagle,1,2,0,Rhea americana,Sharable bifurcated encoding,3
1,wolf,1,1,-3,Leptoptilos crumeniferus,Quality-focused user-facing conglomeration,1
1,eagle,2,2,-3,Plegadis ridgwayi,Centralized national orchestration,3
2,eagle,1,1,-1,unavailable,Compatible optimizing solution,1
1,eagle,2,1,-4,Elephas maximus bengalensis,Open-source upward-trending installation,2
2,eagle,2,3,1,Corvus albicollis,Optional eco-centric benchmark,2
1,bear,3,3,1,Calyptorhynchus magnificus,Innovative context-sensitive definition,2
2,fox,3,3,-5,Phalaropus lobatus,Sharable mission-critical leverage,3
1,eagle,3,2,-4,Echimys chrysurus,Seamless fresh-thinking firmware,1
2,bear,2,2,2,Cacatua galerita,Down-sized next generation installation,3
2,eagle,1,2,3,Sciurus vulgaris,Front-line static forecast,3
2,fox,2,3,-3,Macropus rufogriseus,Vision-oriented methodical productivity,3
1,wolf,2,3,-2,Streptopelia senegalensis,Configurable reciprocal conglomeration,1
2,wolf,2,2,5,Spermophilus tridecemlineatus,Front-line didactic strategy,2
1,bear,2,2,5,Mazama americana,Inverse zero administration database,3
2,wolf,1,2,2,Aegypius occipitalis,De-engineered directional open system,1
1,wolf,3,2,5,Butorides striatus,Fundamental fault-tolerant support,3
2,bear,3,1,0,Boa caninus,Streamlined didactic matrix,2
1,bear,1,3,-5,Chlamydosaurus kingii,Extended bifurcated success,1
1,eagle,3,2,-5,Pelecans onocratalus,Cross-platform needs-based parallelism,3
2,fox,3,3,-2,Gazella granti,Optional system-worthy core,3
1,bear,1,1,0,Cervus duvauceli,Face to face empowering protocol,3
1,eagle,2,3,1,Cacatua tenuirostris,Profit-focused directional model,2
2,eagle,2,2,5,Dipodomys deserti,Business-focused even-keeled firmware,3
2,bear,3,1,3,Tyto novaehollandiae,Stand-alone reciprocal database,1
2,wolf,3,2,3,Trichosurus vulpecula,Adaptive dedicated extranet,2
1,wolf,3,1,0,Lemur catta,Optional demand-driven monitoring,2
1,wolf,2,1,3,Felis wiedi or Leopardus weidi,Up-sized transitional contingency,2
1,bear,2,3,-1,Canis aureus,Switchable 4th generation middleware,2
2,wolf,1,3,-5,Amblyrhynchus cristatus,Total local model,3
1,wolf,2,2,-3,Falco peregrinus,Intuitive demand-driven hub,1
1,wolf,3,1,-2,Canis lupus,Expanded composite Graphic Interface,1
1,eagle,3,3,-1,Turtur chalcospilos,Stand-alone coherent migration,1
1,eagle,2,2,-2,Tragelaphus strepsiceros,Exclusive asynchronous groupware,1
1,eagle,2,3,5,Paraxerus cepapi,Enhanced executive artificial intelligence,1
2,fox,2,1,3,Varanus sp.,Cloned uniform throughput,3
2,bear,1,2,0,Dasypus septemcincus,Focused 4th generation approach,2
1,fox,3,2,-1,Ammospermophilus nelsoni,Multi-tiered background alliance,1
2,bear,2,1,-5,unavailable,Persistent asynchronous support,1
1,fox,2,1,4,Sylvicapra grimma,Reduced local benchmark,3
