type,sprite,cost,rarity,value,cardName,description,effect
combat,bear,1,1,2,Sterna paradisaea,Monitored zero defect archive,skill
combat,fox,1,1,0,Cereopsis novaehollandiae,Seamless attitude-oriented encoding,attack
combat,bear,1,3,3,Porphyrio porphyrio,Grass-roots bifurcated array,attack
combat,eagle,1,3,5,Corvus brachyrhynchos,Organic well-modulated paradigm,status
combat,fox,3,2,-3,Conolophus subcristatus,Reverse-engineered multi-tasking matrices,attack
magic,eagle,1,1,1,Sylvicapra grimma,Configurable 24/7 contingency,skill
combat,fox,2,2,2,Fratercula corniculata,Persevering composite Graphic Interface,skill
magic,eagle,1,1,-2,Acanthaster planci,De-engineered holistic open architecture,attack
magic,eagle,2,2,1,Diomedea irrorata,Visionary 6th generation hardware,status
magic,fox,1,1,-3,Eolophus roseicapillus,Optimized human-resource Graphic Interface,skill
magic,wolf,1,3,3,Laniarius ferrugineus,Synchronised user-facing product,status
magic,fox,3,3,1,Aonyx capensis,Customer-focused scalable capacity,status
combat,wolf,2,3,4,Alopex lagopus,Realigned directional adapter,attack
combat,wolf,2,2,1,Physignathus cocincinus,Cross-group client-server database,skill
combat,fox,1,1,1,Chlidonias leucopterus,Down-sized non-volatile analyzer,status
magic,bear,2,3,-3,Macropus agilis,Programmable disintermediate interface,attack
combat,eagle,1,2,-5,Coendou prehensilis,Synergistic radical conglomeration,skill
magic,bear,2,3,0,Bubalus arnee,Self-enabling bi-directional interface,skill
magic,bear,3,1,3,Ciconia ciconia,Diverse zero tolerance installation,status
combat,eagle,3,1,3,Mirounga leonina,Adaptive attitude-oriented architecture,attack
combat,eagle,1,3,-3,Ceratotherium simum,Reactive interactive interface,skill
combat,wolf,3,2,3,Hymenolaimus malacorhynchus,Synchronised asymmetric access,status
combat,fox,3,1,-4,Hippotragus niger,Fundamental client-server archive,attack
combat,bear,2,1,5,Ateles paniscus,Automated radical internet solution,status
magic,eagle,3,3,4,Graspus graspus,Assimilated mobile model,skill
combat,eagle,3,3,-4,Certotrichas paena,Vision-oriented high-level functionalities,status
combat,eagle,2,1,5,Trichoglossus chlorolepidotus,Managed transitional function,status
magic,fox,3,2,-3,Phalacrocorax brasilianus,Vision-oriented actuating system engine,skill
combat,bear,2,3,1,Felis serval,Versatile 24/7 circuit,skill
magic,bear,1,1,3,Eutamias minimus,Cross-platform national strategy,attack
combat,wolf,1,1,0,Crocuta crocuta,Stand-alone systemic product,attack
combat,eagle,1,2,-1,Paradoxurus hermaphroditus,Open-source systemic knowledge base,attack
combat,bear,3,1,2,Vombatus ursinus,Innovative tertiary data-warehouse,skill
magic,bear,3,2,-1,Otaria flavescens,Virtual composite knowledge user,skill
magic,wolf,2,3,5,Gyps bengalensis,Business-focused global success,attack
combat,wolf,3,3,3,Creagrus furcatus,Intuitive uniform monitoring,status
combat,fox,3,2,-3,Paraxerus cepapi,Right-sized asynchronous knowledge user,attack
magic,fox,2,3,-1,Milvago chimachima,Digitized leading edge algorithm,attack
magic,fox,2,3,0,Merops bullockoides,Ameliorated well-modulated infrastructure,attack
combat,bear,3,2,4,Felis caracal,Up-sized analyzing moderator,status
magic,bear,2,1,0,Coendou prehensilis,Synergistic holistic artificial intelligence,attack
combat,fox,1,3,2,Sula dactylatra,Down-sized 24/7 flexibility,status
magic,wolf,2,1,-3,Gymnorhina tibicen,Configurable dedicated hierarchy,attack
combat,eagle,2,3,-5,Thylogale stigmatica,Reactive system-worthy website,skill
magic,eagle,3,1,-4,Helogale undulata,Cross-group logistical paradigm,skill
magic,bear,2,1,-1,Centrocercus urophasianus,Secured real-time ability,skill
combat,wolf,1,1,-4,Streptopelia senegalensis,Assimilated coherent parallelism,skill
combat,eagle,2,1,5,Melanerpes erythrocephalus,Front-line holistic neural-net,status
combat,fox,1,3,3,unavailable,Optimized foreground interface,status
combat,fox,2,2,5,Anas punctata,Ergonomic holistic artificial intelligence,skill
combat,eagle,1,3,3,Manouria emys,Assimilated secondary hardware,attack
combat,bear,1,3,5,Cordylus giganteus,Polarised methodical circuit,status
magic,eagle,1,2,4,Tringa glareola,Reverse-engineered fault-tolerant customer loyalty,status
magic,bear,2,2,4,Bucephala clangula,Extended web-enabled benchmark,status
combat,eagle,2,1,-4,Falco mexicanus,Advanced dedicated policy,skill
combat,eagle,2,2,4,Graspus graspus,Polarised attitude-oriented moratorium,skill
magic,bear,3,1,2,Panthera onca,Assimilated transitional moratorium,status
combat,eagle,1,2,2,Aegypius tracheliotus,Ergonomic intangible intranet,status
magic,bear,3,1,2,Paraxerus cepapi,Cloned solution-oriented frame,skill
combat,bear,3,3,3,Cochlearius cochlearius,Streamlined didactic emulation,skill
magic,wolf,2,1,1,Butorides striatus,Business-focused mobile forecast,skill
magic,wolf,2,1,-4,Eremophila alpestris,Fundamental hybrid functionalities,attack
magic,bear,1,1,-2,Panthera leo,Intuitive optimizing infrastructure,attack
magic,fox,3,3,2,Geochelone elegans,Centralized logistical projection,attack
combat,wolf,2,1,-2,Phasianus colchicus,Front-line high-level forecast,status
magic,bear,1,1,-2,Connochaetus taurinus,Object-based cohesive artificial intelligence,attack
