Type,sprite,cost,rarity,value,cardName,description,effect
1,fox,1,3,2,Ceratotherium simum,Business-focused heuristic strategy,2
1,bear,2,3,-1,Estrilda erythronotos,Multi-lateral exuding interface,1
1,fox,1,1,2,Francolinus leucoscepus,Re-engineered maximized help-desk,2
2,fox,2,3,-5,Chlidonias leucopterus,Enterprise-wide web-enabled contingency,2
2,fox,1,3,1,Lamprotornis superbus,Open-architected multi-tasking hardware,1
2,eagle,2,3,-5,Vulpes cinereoargenteus,Polarised composite capacity,2
1,fox,2,2,4,Butorides striatus,Re-contextualized empowering capacity,1
1,wolf,3,3,4,Chionis alba,Intuitive static superstructure,3
2,wolf,3,3,0,Cervus canadensis,Synergistic asymmetric alliance,2
1,eagle,1,1,-4,Redunca redunca,Business-focused value-added structure,2
2,fox,3,2,-3,Diceros bicornis,Total fault-tolerant implementation,1
2,eagle,1,1,-4,Cordylus giganteus,Monitored fresh-thinking throughput,1
1,fox,1,2,-2,Ratufa indica,Balanced explicit complexity,1
2,eagle,2,1,3,Ploceus intermedius,Multi-channelled fault-tolerant hardware,1
1,fox,2,2,-1,Alopex lagopus,Exclusive holistic paradigm,2
2,bear,1,3,2,Panthera leo,Managed tertiary functionalities,3
1,wolf,1,3,5,Ursus maritimus,Versatile mission-critical projection,2
1,eagle,2,2,1,Varanus sp.,Adaptive tangible ability,2
2,fox,1,3,-1,Varanus sp.,Switchable bandwidth-monitored superstructure,2
2,wolf,1,3,3,Felis caracal,Operative secondary support,1
2,bear,2,1,5,Oxybelis fulgidus,Persevering 3rd generation collaboration,2
2,fox,1,1,0,Funambulus pennati,Digitized scalable benchmark,1
2,fox,3,1,-1,Gymnorhina tibicen,Networked client-server model,2
2,fox,1,1,0,Litrocranius walleri,Optimized mobile parallelism,1
2,wolf,3,2,-2,unavailable,Public-key global solution,1
2,bear,1,3,5,Coendou prehensilis,Right-sized reciprocal archive,3
2,wolf,2,1,4,Axis axis,Diverse incremental support,3
1,eagle,3,3,4,Mycteria leucocephala,Multi-tiered interactive productivity,2
1,bear,3,1,2,Phasianus colchicus,De-engineered 24/7 architecture,2
2,fox,1,1,-4,Sula nebouxii,Universal multi-state initiative,3
1,wolf,1,3,-1,Canis dingo,Versatile grid-enabled definition,2
1,bear,1,3,1,Loxodonta africana,Enhanced bandwidth-monitored toolset,1
1,fox,2,2,3,Anastomus oscitans,Proactive high-level standardization,2
1,eagle,2,1,3,Macropus rufus,Fully-configurable upward-trending challenge,1
2,wolf,2,2,-1,Hyaena hyaena,Customer-focused optimizing task-force,3
1,fox,1,3,-2,Ephippiorhynchus mycteria,Balanced dedicated attitude,1
1,eagle,1,1,-2,Phoca vitulina,User-friendly secondary paradigm,3
2,bear,2,2,4,Acridotheres tristis,Fundamental bandwidth-monitored matrix,1
1,bear,2,1,5,Herpestes javanicus,Enterprise-wide secondary instruction set,1
1,wolf,1,1,-2,Phoca vitulina,Enterprise-wide background success,3
2,eagle,1,3,-3,Ammospermophilus nelsoni,Open-architected stable definition,3
1,bear,3,3,-1,Plocepasser mahali,Stand-alone exuding moratorium,2
1,bear,3,1,-3,Ciconia episcopus,Upgradable object-oriented standardization,1
2,wolf,2,2,4,Haliaetus vocifer,Secured systematic matrix,2
2,fox,2,3,-5,Equus burchelli,Assimilated object-oriented conglomeration,3
2,bear,3,2,-4,Ovibos moschatus,User-centric reciprocal forecast,1
1,eagle,3,1,-2,Callipepla gambelii,Implemented user-facing budgetary management,1
2,fox,3,1,3,Bucorvus leadbeateri,Digitized grid-enabled frame,1
1,eagle,2,1,-3,Graspus graspus,Synergistic asymmetric budgetary management,1
1,fox,2,3,3,Capra ibex,Progressive explicit leverage,1
1,bear,1,1,3,Nannopterum harrisi,Extended motivating focus group,3
2,wolf,2,3,-5,Stercorarius longicausus,Quality-focused modular core,1
1,wolf,1,2,-3,Acrantophis madagascariensis,Secured web-enabled info-mediaries,3
1,bear,1,3,-1,Libellula quadrimaculata,Inverse encompassing focus group,1
1,wolf,3,3,0,Creagrus furcatus,Programmable 24 hour leverage,2
1,fox,1,3,-5,Ciconia episcopus,Mandatory full-range alliance,2
2,bear,1,1,-1,Chauna torquata,Function-based zero defect solution,3
2,bear,1,2,-4,Laniaurius atrococcineus,Down-sized object-oriented time-frame,2
2,eagle,2,3,1,Gyps fulvus,Sharable interactive alliance,2
1,wolf,1,2,5,Martes pennanti,Expanded bi-directional architecture,2
2,wolf,3,1,3,Bubo virginianus,Reactive explicit process improvement,3
1,eagle,2,1,-5,Camelus dromedarius,Organized actuating portal,2
1,fox,2,1,1,Tamiasciurus hudsonicus,Distributed homogeneous hierarchy,3
2,eagle,3,2,-5,Manouria emys,Open-source empowering toolset,1
1,bear,3,1,1,Alouatta seniculus,Intuitive exuding software,3
2,bear,2,2,5,Pseudocheirus peregrinus,Mandatory value-added task-force,1
